lat,long,date,time,region
7.743877992,125.669611,08/27/2011,,Region XI - Davao Region
7.7474,126.0533,31/01/2024,17:50:00,Region XI - Davao Region
7.7509,125.8158,19/01/2024,16:00:00,Region XI - Davao Region
7.7541,123.1157,12/07/2024,17:15:00,Region IX - Zamboanga Peninsula
7.7547,125.9505,16/01/2024,13:21:00,Region XI - Davao Region
7.7547,125.9505,19/01/2024,10:00:00,Region XI - Davao Region
7.7592,126.0093,15/01/2024,06:30:00,Region XI - Davao Region
7.7853,124.6808,12/07/2024,21:00:00,BARMM
7.7914,126.0241,29/01/2024,08:00:00,Region XI - Davao Region
7.794,126.1632,11/05/2016,,Region XI - Davao Region
7.7946,124.1672,16/12/2021,15:48:00,BARMM
7.796861888,126.1657482,09/06/2008,,Region XI - Davao Region
7.8127,126.1846,18/02/2023,,Region XI - Davao Region
7.817297945,126.049799,01/13/2012,,Region XI - Davao Region
7.8175,126.1113,07/01/2023,08:52:00,Region XI - Davao Region
7.8175,126.1113,23/01/2023,07:32:00,Region XI - Davao Region
7.8177,126.0499,10/08/2009,,Region XI - Davao Region
7.8197,126.1773,18/02/2023,10:00:00,Region XI - Davao Region
7.82217276,126.1463682,02/23/2013,,Region XI - Davao Region
7.8222,126.0528,29/01/2024,12:20:00,Region XI - Davao Region
7.8222,126.0528,31/01/2024,13:03:00,Region XI - Davao Region
7.8232,126.1769,16/01/2024,11:50:00,Region XI - Davao Region
7.8232,126.1769,18/01/2024,09:00:00,Region XI - Davao Region
7.8232,126.1769,18/01/2024,12:13:00,Region XI - Davao Region
7.8232,126.1769,31/01/2024,13:31:00,Region XI - Davao Region
7.8232,126.1769,11/01/2023,,Region XI - Davao Region
7.824,126.034,16/01/2024,07:40:00,Region XI - Davao Region
7.824,126.034,16/01/2024,07:00:00,Region XI - Davao Region
7.824426765,126.1489178,01/02/2011,,Region XI - Davao Region
7.8266,126.4012,29/01/2024,23:00:00,Region XI - Davao Region
7.8266,126.4012,30/01/2024,06:53:00,Region XI - Davao Region
7.8266,126.4012,16/01/2024,,Region XI - Davao Region
7.8273,126.1332,18/02/2023,,Region XI - Davao Region
7.8354,125.3915,10/02/2016,,Region X - Northern Mindanao
7.8383,123.2967,01/13/2014,,Region IX - Zamboanga Peninsula
7.8407,126.3708,29/01/2023,,Region XI - Davao Region
7.8407,126.3708,16/01/2024,,Region XI - Davao Region
7.8413,125.9816,18/02/2023,09:45:00,Region XI - Davao Region
7.8471,126.0509,10/08/2009,,Region XI - Davao Region
7.8474,126.0938,12/26/2008,,Region XI - Davao Region
7.8501,125.7249,02/02/2024,08:00:00,Region XI - Davao Region
7.8516,125.759,18/01/2024,10:00:00,Region XI - Davao Region
7.8613,126.3342,16/01/2024,,Region XI - Davao Region
7.8675,123.3647,07/16/2011,,Region IX - Zamboanga Peninsula
7.8694,126.3755,29/01/2024,10:52:00,Region XI - Davao Region
7.8694,126.3755,16/01/2024,,Region XI - Davao Region
7.8705,126.3235,08/19/2013,,Region XI - Davao Region
7.8757,126.335,29/01/2023,,Region XI - Davao Region
7.8757,126.335,16/01/2024,,Region XI - Davao Region
7.8805,125.7036,17/01/2024,13:25:00,Region XI - Davao Region
7.8805,125.7036,17/01/2023,,Region XI - Davao Region
7.8889,126.0797,16/01/2024,04:00:00,Region XI - Davao Region
7.8899,125.7733,15/01/2024,20:00:00,Region XI - Davao Region
7.891,126.0626,18/02/2023,08:00:00,Region XI - Davao Region
7.8949,126.2876,16/01/2024,,Region XI - Davao Region
7.8966,125.9003,16/01/2024,10:08:00,Region XI - Davao Region
7.8998,123.7741,07/30/2011,,Region X - Northern Mindanao
7.9007,123.7741,08/15/2012,,Region X - Northern Mindanao
7.9015,123.7719,07/27/2011,,Region X - Northern Mindanao
7.9035,125.3449,12/29/2014,,Region X - Northern Mindanao
7.9046,123.7227,12/27/2011,,Region X - Northern Mindanao
7.909,125.795,16/01/2024,06:06:00,Region XI - Davao Region
7.909,125.7954,17/01/2023,,Region XI - Davao Region
7.9105,126.3509,31/01/2024,14:50:00,Region XI - Davao Region
7.9105,126.3509,29/01/2023,,Region XI - Davao Region
7.9105,126.3509,16/01/2024,,Region XI - Davao Region
7.9196,124.1784,15/01/2023,,BARMM
7.9204,125.8072,17/01/2023,,Region XI - Davao Region
7.9216,125.1666,12/27/2011,,Region X - Northern Mindanao
7.92237225,126.270676,01/17/2011,,Region XI - Davao Region
7.9235,126.2174,16/01/2024,,Region XI - Davao Region
7.9285,126.0766,03/02/2024,08:30:00,Region XI - Davao Region
7.939,125.7438,17/01/2023,,Region XI - Davao Region
7.9436,125.903,03/02/2024,,Region XIII - Caraga
7.9436,125.2441,11/24/2009,,Region X - Northern Mindanao
7.9473,125.7065,17/01/2023,,Region XI - Davao Region
7.9505,126.3561,01/02/2024,,Region XIII - Caraga
7.9622,125.8333,17/01/2023,,Region XIII - Caraga
7.9622,125.8333,24/01/2023,,Region XIII - Caraga
7.9668,125.7551,15/01/2024,22:05:00,Region XI - Davao Region
7.9668,125.7551,18/12/2023,,Region XI - Davao Region
7.9756,122.3698,08/21/2015,,Region IX - Zamboanga Peninsula
7.9783,125.8528,16/01/2024,07:00:00,Region XI - Davao Region
7.9869,125.9357,31/01/2024,,Region XIII - Caraga
7.9876,125.8821,01/02/2024,,Region XIII - Caraga
7.989,126.1814,02/01/2024,07:50:00,Region XI - Davao Region
7.989,126.1814,05/04/2022,20:00:00,Region XI - Davao Region
7.9978,122.8157,10/08/2009,,Region IX - Zamboanga Peninsula
8.0101,126.1242,02/02/2024,08:42:00,Region XIII - Caraga
8.0101,126.1242,05/04/2022,21:00:00,Region XIII - Caraga
8.0189,126.0933,02/02/2024,08:42:00,Region XIII - Caraga
8.0209,125.9137,01/02/2024,,Region XIII - Caraga
8.0211,126.1614,31/01/2024,16:28:00,Region XIII - Caraga
8.0211,124.3133,08/13/2015,,BARMM
8.024,125.6215,01/02/2024,18:00:00,Region XIII - Caraga
8.0257,125.9137,01/02/2024,,Region XIII - Caraga
8.0274,125.8927,01/02/2024,08:00:00,Region XIII - Caraga
8.0318,126.3209,01/02/2024,,Region XIII - Caraga
8.0403,126.1334,02/01/2024,13:59:00,Region XIII - Caraga
8.041,124.8219,13/01/2023,17:00:00,Region X - Northern Mindanao
8.0445,126.063,29/01/2024,09:30:00,Region XIII - Caraga
8.0539,126.4037,02/20/2012,,Region XIII - Caraga
8.0558,125.878,01/02/2024,,Region XIII - Caraga
8.0721,125.9549,01/02/2024,,Region XIII - Caraga
8.091,126.3892,01/02/2024,,Region XIII - Caraga
8.1052,122.9965,11/01/2023,,Region IX - Zamboanga Peninsula
8.1469,125.137,01/14/2011,,Region X - Northern Mindanao
8.1484,123.8296,09/17/2014,,Region X - Northern Mindanao
8.1594,126.0106,16/01/2024,,Region XIII - Caraga
8.1788,125.9934,16/01/2024,,Region XIII - Caraga
8.2093,123.2108,28/10/2022,,Region IX - Zamboanga Peninsula
8.2101,126.2848,01/11/2009,,Region XIII - Caraga
8.2249,123.1103,27/10/2022,23:00:00,Region IX - Zamboanga Peninsula
8.237,125.7801,01/02/2024,,Region XIII - Caraga
8.2412,123.1444,14/02/2023,,Region IX - Zamboanga Peninsula
8.2629,123.0672,28/10/2022,,Region IX - Zamboanga Peninsula
8.3414,126.1186,02/02/2024,,Region XIII - Caraga
8.361576284,124.4153091,01/08/2017,,Region X - Northern Mindanao
8.3886,123.1689,10/18/2010,,Region IX - Zamboanga Peninsula
8.391,123.2096,14/02/2023,,Region IX - Zamboanga Peninsula
8.4139,123.1904,14/02/2023,,Region IX - Zamboanga Peninsula
8.4359,124.5196,11/24/2009,,Region X - Northern Mindanao
8.44,126.34,11/20/2008,,Region XIII - Caraga
8.4406,124.7212,08/19/2013,,Region X - Northern Mindanao
8.4552,124.6318,12/17/2011,,Region X - Northern Mindanao
8.4719,123.1295,11/01/2023,,Region IX - Zamboanga Peninsula
8.473637355,124.6312444,01/15/2017,,Region X - Northern Mindanao
8.479,123.3227,16/02/2023,07:00:00,Region IX - Zamboanga Peninsula
8.4814,123.2198,02/02/2015,,Region IX - Zamboanga Peninsula
8.4814,123.2198,02/02/2015,10:00:00,Region IX - Zamboanga Peninsula
8.48956,8.48956,13/07/2024,17:39:00,Region Not Found
8.4933,125.7312,30/01/2024,08:15:00,Region XIII - Caraga
8.4966,123.3034,02/22/2013,,Region IX - Zamboanga Peninsula
8.4966,123.3034,01/19/2012,,Region IX - Zamboanga Peninsula
8.4984,123.3032,11/04/2010,,Region IX - Zamboanga Peninsula
8.4993,125.7367,01/02/2024,02:25:00,Region XIII - Caraga
8.5008,124.4309,11/24/2008,,Region X - Northern Mindanao
8.504,126.1736,02/25/2013,,Region XIII - Caraga
8.504,126.1736,22/04/2016,23:00:00,Region XIII - Caraga
8.5055,125.7407,01/18/2010,,Region XIII - Caraga
8.5069,124.7537,07/04/2022,08:00:00,Region X - Northern Mindanao
8.5091,123.2981,11/16/2011,,Region IX - Zamboanga Peninsula
8.5138,123.3022,10/08/2009,,Region IX - Zamboanga Peninsula
8.5367,124.7997,01/17/2014,,Region X - Northern Mindanao
8.5419,124.763,09/17/2014,,Region X - Northern Mindanao
8.5544,123.365,14/02/2023,,Region IX - Zamboanga Peninsula
8.5559,126.0836,01/02/2024,09:00:00,Region XIII - Caraga
8.5568,123.6451,06/04/2022,03:00:00,Region X - Northern Mindanao
8.572,125.4908,01/30/2011,,Region XIII - Caraga
8.577,124.785,11/24/2008,,Region X - Northern Mindanao
8.5854,125.7405,31/01/2024,,Region XIII - Caraga
8.5854,125.7405,18/12/2023,,Region XIII - Caraga
8.6006,123.433,14/02/2023,23:00:00,Region IX - Zamboanga Peninsula
8.6068,124.8964,07/26/2014,,Region X - Northern Mindanao
8.6251,125.9211,01/13/2014,,Region XIII - Caraga
8.647001607,124.7749346,10/16/2011,,Region X - Northern Mindanao
8.6542,124.7556,11/24/2009,,Region X - Northern Mindanao
8.7031,124.7439,07/04/2015,,Region X - Northern Mindanao
8.7089,125.5906,16/12/2021,,Region XIII - Caraga
8.7102,125.7217,19/12/2023,,Region XIII - Caraga
8.7122,124.7653,01/16/2011,,Region X - Northern Mindanao
8.7689,125.7137,18/12/2023,,Region XIII - Caraga
8.8152,124.8293,11/24/2009,,Region X - Northern Mindanao
8.8259,125.6261,19/12/2021,16:00:00,Region XIII - Caraga
8.8483,125.5276,17/12/2021,10:00:00,Region XIII - Caraga
8.8599,125.5892,01/02/2024,12:30:00,Region XIII - Caraga
8.8604,124.7893,11/24/2009,,Region X - Northern Mindanao
8.9167,125.6435,18/02/2023,00:28:00,Region XIII - Caraga
8.9167,125.6435,15/01/2023,,Region XIII - Caraga
8.9196,124.7837,11/24/2009,,Region X - Northern Mindanao
8.9297,125.5083,15/01/2023,,Region XIII - Caraga
8.932,125.6598,18/02/2023,04:23:00,Region XIII - Caraga
8.932,125.6598,18/12/2021,05:50:00,Region XIII - Caraga
8.932,125.6598,15/01/2023,,Region XIII - Caraga
8.9458,125.5319,10/12/2011,,Region XIII - Caraga
8.9626,124.8514,03/19/2014,,Region X - Northern Mindanao
8.991165,124.891843,03/09/2017,,Region X - Northern Mindanao
8.991165,124.891843,09/03/2017,07:00:00,Region X - Northern Mindanao
9.0573,125.225,11/01/2023,,Region XIII - Caraga
9.1196,125.5339,01/07/2011,,Region XIII - Caraga
9.2038,123.596,07/28/2011,,Region VII - Central Visayas
9.2171,126.1466,03/19/2011,,Region XIII - Caraga
9.234,126.1696,01/09/2015,,Region XIII - Caraga
9.2519,122.8749,13/07/2024,01:00:00,Region VII - Central Visayas
9.2519,122.8749,13/07/2024,01:00:00,Region VII - Central Visayas
9.2774,122.8787,10/05/2013,,Region VII - Central Visayas
9.2829,123.2449,11/17/2011,,Region VII - Central Visayas
9.29,123.226,07/15/2010,,Region VII - Central Visayas
9.3059,125.8571,12/10/2010,,Region XIII - Caraga
9.309786719,123.2109112,07/29/2013,,Region VII - Central Visayas
9.30978672,123.2109112,24/05/2017,00:00:00,Region VII - Central Visayas
9.3591,122.8211,01/10/2012,,Region VII - Central Visayas
9.3881,122.7181,10/05/2013,,Region VII - Central Visayas
9.4455,122.5888,24/07/2023,,Region VI - Western Visayas
9.4966,125.4364,13/01/2023,,Region XIII - Caraga
9.543,125.4427,03/17/2011,,Region XIII - Caraga
9.5497,122.8812,12/10/2010,,Region VII - Central Visayas
9.573,122.5833,10/07/2013,,Region VI - Western Visayas
9.5887,125.4111,27/10/2022,12:00:00,Region XIII - Caraga
9.5898,125.5602,13/01/2023,,Region XIII - Caraga
9.60397,124.273652,01/14/2017,,Region VII - Central Visayas
9.60397,124.273652,17/10/2017,20:00:00,Region VII - Central Visayas
9.6224,124.2986,10/16/2011,,Region VII - Central Visayas
9.6389,124.0367,01/25/2011,,Region VII - Central Visayas
9.6514,124.3655,05/04/2011,,Region VII - Central Visayas
9.6515,124.3656,08/19/2013,,Region VII - Central Visayas
9.653,125.6041,12/01/2023,,Region XIII - Caraga
9.667669077,124.2731644,10/16/2011,,Region VII - Central Visayas
9.6811,118.5489,07/04/2015,,Region IV-B - MIMAROPA
9.6811,118.5489,04/07/2015,17:00:00,Region IV-B - MIMAROPA
9.6941,125.5523,01/23/2011,,Region XIII - Caraga
9.7177,124.3378,07/04/2011,,Region VII - Central Visayas
9.7184,125.6354,08/01/2023,,Region XIII - Caraga
9.7244,125.4203,01/23/2011,,Region XIII - Caraga
9.7425,122.4932,30/05/2023,,Region VI - Western Visayas
9.7425,122.4932,28/10/2022,,Region VI - Western Visayas
9.7457,125.3973,17/07/2024,15:00:00,Region XIII - Caraga
9.7534,122.4786,06/24/2011,,Region VI - Western Visayas
9.7548,123.3459,08/15/2012,,Region VII - Central Visayas
9.7619,125.5045,17/11/2023,,Region XIII - Caraga
9.77418431,123.5297419,05/04/2017,04:00:00,Region VII - Central Visayas
9.774184314,123.5297419,06/09/2011,,Region VII - Central Visayas
9.789939,125.485592,11/27/2016,,Region XIII - Caraga
9.789939,125.485592,27/11/2016,07:00:00,Region XIII - Caraga
9.8011,124.2467,07/28/2011,,Region VII - Central Visayas
9.8089,124.4541,11/01/2023,15:00:00,Region VII - Central Visayas
9.8123,122.4486,26/10/2022,,Region VI - Western Visayas
9.826,125.6095,10/08/2009,,Region XIII - Caraga
9.8439,124.4318,11/01/2023,18:00:00,Region VII - Central Visayas
9.8641,124.4633,13/01/2023,,Region VII - Central Visayas
9.8796,124.4241,13/01/2023,,Region VII - Central Visayas
9.8946,124.4726,13/01/2023,,Region VII - Central Visayas
9.8964,123.42,10/08/2009,,Region VII - Central Visayas
9.9253,125.0796,26/10/2022,,Region VIII - Eastern Visayas
9.9309,125.2966,26/10/2022,,Region VIII - Eastern Visayas
9.9323,122.6042,14/02/2023,16:00:00,Region VI - Western Visayas
9.94928114,118.8014459,10/04/2016,,Region IV-B - MIMAROPA
9.94928114,118.8014459,28/05/2017,22:00:00,Region IV-B - MIMAROPA
9.9532,125.6079,11/01/2023,,Region XIII - Caraga
9.9593,125.5911,15/01/2023,,Region XIII - Caraga
